Name,R.A.,Dec.,OID,Discovery date (UT),mag,er_down,er_up,ref,er_ref,TNS,Type,Comments
SNAD156,184.83691,45.49015,755203100007964,2018-04-13 06:38:14,20.91,0.31,0.44,19.93,0.07,AT 2018lzb,PSN,
SNAD157,280.69720,36.36783,684215200016923,2018-05-25 09:13:49,21.29,0.31,0.44,20.76,0.07,"AT 2018lzc
",PSN,ZTF18abegwmh
SNAD158,253.15763,25.82260,634208100026872,2018-06-30 08:33:53,21.01,0.26,0.35,20.33,0.08,AT 2018lzd,AGN,
SNAD159,216.86359,53.08862,792205300018453,2018-05-11 06:22:14,21.12,0.31,0.43,20.04,0.04,AT 2018lze,PSN,ZTF19aanjzps
SNAD160,205.97232 ,61.55479,821207100004043,2018-05-05 07:25:20,21.03,0.28,0.38,20.79,0.09,AT 2018lzi,PSN, ZTF18aautopz
SNAD161,200.90323,55.97815,791211100013499,2018-04-06 08:06:17,19.83,0.14,0.16,20.44*,0.16,AT 2018lzj,PSN,ZTF19aaroswc
SNAD162,267.30305,62.14472,825209400016106,2018-06-23 06:18:01,21.34,0.31,0.43,21.50,0.11,AT 2018lzk,PSN,
SNAD163,265.04514,58.79008,825201300004134,2018-08-23 04:50:43,21.38,0.31,0.43,21.59,0.13,AT 2018lzl,PSN,
SNAD164,274.46930,62.62716,826210300004963,2018-06-28 08:14:25,21.11,0.26,0.34,21.33,0.10,AT 2018lzm,PSN,ZTF18abnwqje
SNAD165,259.39972,44.51506,763204300004087,2018-04-09 10:07:06,21.40,0.31,0.44,21.65,0.14,AT 2018lzn,PSN,
SNAD166,259.60178,48.60846,763212400008960,2018-05-28 08:52:22,21.05,0.23,0.29,21.46,0.09,AT 2018lzo,PSN,ZTF18abrwtqb
SNAD167,266.76180,70.77228,848110200002560,2018-03-25 07:43:04,18.28,0.04,0.04,19.21,0.03,AT 2018lzp,PSN,ZTF18aaspmzq
SNAD168,254.74986,34.58057,680109100003419,2018-03-26 09:37:24,20.05,0.12,0.14,21.94*,0.28,AT 2018lzq,PSN,ZTF18aaialps
SNAD169,222.43221,56.47040,793111200009141,2019-03-14 12:00:17,21.13,0.30,0.41,20.89,0.08,AT 2019aana,PSN,ZTF19aankarf
SNAD170,181.41333,70.74701,843110200002130,2018-03-25 06:18:41,19.57,0.13,0.15,20.56*,0.20,AT 2018lzz,PSN,ZTF18aasusyp
SNAD171,251.97812,37.95467,723103100016148,2018-03-26 12:02:26,18.77,0.05,0.06,20.18*,0.11,AT 2018maa,PSN,ZTF18aaltvdm
SNAD172,256.45691,42.73660,723113400015131,2018-03-26 12:01:48,19.88,0.13,0.15,20.89*,0.19,AT 2018mab,PSN,ZTF18aagrgle
